"site","grains","richness","indiv","count","sr_std","area"
"baldmnt",1,0.27978515625,0.32666015625,2048,0.127230307643626,2.44140625
"baldmnt",2,0.5341796875,0.6533203125,1024,0.672605786784453,4.8828125
"baldmnt",4,0.990234375,1.306640625,512,0.888005716421499,9.765625
"baldmnt",8,1.7265625,2.61328125,256,1.06063128630556,19.53125
"baldmnt",16,2.8125,5.2265625,128,1.16882065873404,39.0625
"baldmnt",32,4.171875,10.453125,64,1.20257247413848,78.125
"baldmnt",64,5.5625,20.90625,32,1.41278722457965,156.25
"baldmnt",128,7.125,41.8125,16,1.5,312.5
"baldmnt",256,9.125,83.625,8,1.88509188862809,625
"baldmnt",512,11.75,167.25,4,3.30403793359983,1250
"baldmnt",1024,15,334.5,2,1.4142135623731,2500
"baldmnt",2048,17,669,1,NA,5000
"bci",1,14.814453125,25.0361328125,8192,0.216321782571709,61.03515625
"bci",2,23.95556640625,50.072265625,4096,5.68518656658972,122.0703125
"bci",4,36.93408203125,100.14453125,2048,7.37945301875373,244.140625
"bci",8,54.666015625,200.2890625,1024,9.06907226207677,488.28125
"bci",16,76.421875,400.578125,512,10.3086302263132,976.5625
"bci",32,102.15625,801.15625,256,10.7089389086417,1953.125
"bci",64,129.046875,1602.3125,128,10.3443539889555,3906.25
"bci",128,156.921875,3204.625,64,10.1891705466427,7812.5
"bci",256,183.71875,6409.25,32,10.519519107738,15625
"bci",512,209.1875,12818.5,16,8.62723401019508,31250
"bci",1024,231.625,25637,8,8.70036945028362,62500
"bci",2048,255.5,51274,4,9.1469484893415,125000
"bci",4096,276.5,102548,2,3.53553390593274,250000
"bci",8192,301,205096,1,NA,5e+05
"bigoak",1,0.563232421875,0.6676025390625,8192,0.117824376457087,2.44140625
"bigoak",2,1.036865234375,1.335205078125,4096,0.903855984618263,4.8828125
"bigoak",4,1.84033203125,2.67041015625,2048,1.16385655399196,9.765625
"bigoak",8,3.0888671875,5.3408203125,1024,1.45741542209106,19.53125
"bigoak",16,4.830078125,10.681640625,512,1.70885617486372,39.0625
"bigoak",32,7.29296875,21.36328125,256,1.84181000462514,78.125
"bigoak",64,10.25,42.7265625,128,1.81420466945633,156.25
"bigoak",128,13.65625,85.453125,64,1.7836893280635,312.5
"bigoak",256,17.5625,170.90625,32,1.91660822725308,625
"bigoak",512,20.875,341.8125,16,2.09364116632563,1250
"bigoak",1024,25.375,683.625,8,1.84681192483541,2500
"bigoak",2048,29.25,1367.25,4,1.70782512765993,5000
"bigoak",4096,35,2734.5,2,2.82842712474619,10000
"bigoak",8192,40,5469,1,NA,20000
"bormann",1,0.743408203125,0.947021484375,4096,0.155455486080729,4.78515625
"bormann",2,1.32666015625,1.89404296875,2048,0.922620351170045,9.5703125
"bormann",4,2.1689453125,3.7880859375,1024,1.0928419285868,19.140625
"bormann",8,3.310546875,7.576171875,512,1.28944461327902,38.28125
"bormann",16,4.734375,15.15234375,256,1.53385008342777,76.5625
"bormann",32,6.46875,30.3046875,128,2.02324094882638,153.125
"bormann",64,8.5,60.609375,64,2.72554057547699,306.25
"bormann",128,10.8125,121.21875,32,3.57804686314178,612.5
"bormann",256,13.9375,242.4375,16,3.95758764906098,1225
"bormann",512,16.75,484.875,8,4.74341649025257,2450
"bormann",1024,21,969.75,4,5.71547606649408,4900
"bormann",2048,25,1939.5,2,5.65685424949238,9800
"bormann",4096,30,3879,1,NA,19600
"bryan",1,0.358642578125,0.414306640625,8192,0.0861156932959619,2.08892822265625
"bryan",2,0.689453125,0.82861328125,4096,0.763480299206972,4.1778564453125
"bryan",4,1.2958984375,1.6572265625,2048,0.987633734830074,8.355712890625
"bryan",8,2.30078125,3.314453125,1024,1.21868772868961,16.71142578125
"bryan",16,3.8203125,6.62890625,512,1.53718982042925,33.4228515625
"bryan",32,5.9921875,13.2578125,256,1.97035318323053,66.845703125
"bryan",64,8.796875,26.515625,128,2.41504267091954,133.69140625
"bryan",128,12.515625,53.03125,64,2.7254950766234,267.3828125
"bryan",256,16.71875,106.0625,32,2.86507754778797,534.765625
"bryan",512,21.3125,212.125,16,3.21908372056397,1069.53125
"bryan",1024,26.75,424.25,8,2.91547594742265,2139.0625
"bryan",2048,34.25,848.5,4,3.20156211871642,4278.125
"bryan",4096,40.5,1697,2,6.36396103067893,8556.25
"bryan",8192,48,3394,1,NA,17112.5
"cocoli1",1,0.5167236328125,0.5384521484375,8192,0.061522403571019,2.44140625
"cocoli1",2,1.00048828125,1.076904296875,4096,1.04711931411005,4.8828125
"cocoli1",4,1.9052734375,2.15380859375,2048,1.47535081019023,9.765625
"cocoli1",8,3.50390625,4.3076171875,1024,2.06065985479061,19.53125
"cocoli1",16,6.27734375,8.615234375,512,2.66330327224687,39.0625
"cocoli1",32,10.453125,17.23046875,256,3.30859694213275,78.125
"cocoli1",64,16.453125,34.4609375,128,4.17691325391235,156.25
"cocoli1",128,24.53125,68.921875,64,5.09580826805345,312.5
"cocoli1",256,35.90625,137.84375,32,4.73394996362071,625
"cocoli1",512,50,275.6875,16,6.05530070819498,1250
"cocoli1",1024,68,551.375,8,7.34846922834953,2500
"cocoli1",2048,89,1102.75,4,2.58198889747161,5000
"cocoli1",4096,115,2205.5,2,2.82842712474619,10000
"cocoli1",8192,136,4411,1,NA,20000
"cocoli2",1,0.500244140625,0.5177001953125,8192,0.059457940949274,2.44140625
"cocoli2",2,0.97509765625,1.035400390625,4096,1.02585143896771,4.8828125
"cocoli2",4,1.8544921875,2.07080078125,2048,1.43285454273371,9.765625
"cocoli2",8,3.435546875,4.1416015625,1024,2.01697248363869,19.53125
"cocoli2",16,6.123046875,8.283203125,512,2.70581314012371,39.0625
"cocoli2",32,10.51171875,16.56640625,256,3.63639815533416,78.125
"cocoli2",64,17.0078125,33.1328125,128,4.60485210334716,156.25
"cocoli2",128,26.703125,66.265625,64,5.63909169625128,312.5
"cocoli2",256,38.53125,132.53125,32,6.29892143865302,625
"cocoli2",512,53.875,265.0625,16,8.13121557128248,1250
"cocoli2",1024,72.625,530.125,8,8.83074984682178,2500
"cocoli2",2048,96,1060.25,4,6.21825270205921,5000
"cocoli2",4096,118,2120.5,2,9.89949493661167,10000
"cocoli2",8192,141,4241,1,NA,20000
"cross",1,0.715087890625,1.861572265625,4096,0.302857860377566,9.765625
"cross",2,0.958984375,3.72314453125,2048,0.612743152338453,19.53125
"cross",4,1.205078125,7.4462890625,1024,0.636871012036684,39.0625
"cross",8,1.421875,14.892578125,512,0.614366489933357,78.125
"cross",16,1.6171875,29.78515625,256,0.589064978605593,156.25
"cross",32,1.8203125,59.5703125,128,0.523970212382886,312.5
"cross",64,1.96875,119.140625,64,0.502967385101848,625
"cross",128,2.15625,238.28125,32,0.447889315243931,1250
"cross",256,2.375,476.5625,16,0.61913918736689,2500
"cross",512,2.75,953.125,8,1.03509833901353,5000
"cross",1024,3.25,1906.25,4,1.89296944860009,10000
"cross",2048,4.5,3812.5,2,3.53553390593274,20000
"cross",4096,7,7625,1,NA,40000
"ferp",1,0.5872802734375,0.7183837890625,8192,0.136329391951702,5.4931640625
"ferp",2,1.057373046875,1.436767578125,4096,0.989754268782154,10.986328125
"ferp",4,1.861328125,2.87353515625,2048,1.24651290597729,21.97265625
"ferp",8,2.994140625,5.7470703125,1024,1.44564767767488,43.9453125
"ferp",16,4.5078125,11.494140625,512,1.53878033258077,87.890625
"ferp",32,6.28125,22.98828125,256,1.54126253314561,175.78125
"ferp",64,8.0546875,45.9765625,128,1.46512526002354,351.5625
"ferp",128,9.8125,91.953125,64,1.53141702198914,703.125
"ferp",256,11.875,183.90625,32,1.64120333508581,1406.25
"ferp",512,13.8125,367.8125,16,1.47054411698527,2812.5
"ferp",1024,16.875,735.625,8,2.29518128757995,5625
"ferp",2048,21.25,1471.25,4,2.87228132326901,11250
"ferp",4096,26,2942.5,2,1.4142135623731,22500
"ferp",8192,31,5885,1,NA,45000
"graveyard",1,0.541748046875,0.630859375,4096,0.121746450928176,2.44140625
"graveyard",2,1.01904296875,1.26171875,2048,0.878071710501469,4.8828125
"graveyard",4,1.82421875,2.5234375,1024,1.09934636894165,9.765625
"graveyard",8,3.111328125,5.046875,512,1.35676481274167,19.53125
"graveyard",16,4.828125,10.09375,256,1.5472144482972,39.0625
"graveyard",32,6.9375,20.1875,128,1.76023441531246,78.125
"graveyard",64,9.4375,40.375,64,2.06923803167882,156.25
"graveyard",128,12.6875,80.75,32,2.24955192671068,312.5
"graveyard",256,16.4375,161.5,16,2.09662427090152,625
"graveyard",512,20.625,323,8,2.82526863450944,1250
"graveyard",1024,25.25,646,4,3.30403793359983,2500
"graveyard",2048,30.5,1292,2,3.53553390593274,5000
"graveyard",4096,36,2584,1,NA,10000
"landsend",1,0.23486328125,0.2611083984375,8192,0.0754690361476027,1.031494140625
"landsend",2,0.460205078125,0.522216796875,4096,0.640419853838342,2.06298828125
"landsend",4,0.88525390625,1.04443359375,2048,0.859452646156959,4.1259765625
"landsend",8,1.6484375,2.0888671875,1024,1.13740177408817,8.251953125
"landsend",16,2.95703125,4.177734375,512,1.46655785840682,16.50390625
"landsend",32,4.91796875,8.35546875,256,1.84632899554871,33.0078125
"landsend",64,7.5703125,16.7109375,128,2.19047182833029,66.015625
"landsend",128,10.859375,33.421875,64,2.84447215233281,132.03125
"landsend",256,14.8125,66.84375,32,3.55997009773596,264.0625
"landsend",512,20,133.6875,16,4.09878030638384,528.125
"landsend",1024,25.25,267.375,8,2.86605752110555,1056.25
"landsend",2048,30.5,534.75,4,1.73205080756888,2112.5
"landsend",4096,35.5,1069.5,2,2.12132034355964,4225
"landsend",8192,41,2139,1,NA,8450
"luquillo",1,2.9151611328125,3.9453125,8192,0.15151467380839,15.2587890625
"luquillo",2,4.8603515625,7.890625,4096,2.3768378195518,30.517578125
"luquillo",4,7.92822265625,15.78125,2048,3.08125180996279,61.03515625
"luquillo",8,12.302734375,31.5625,1024,3.93099724484183,122.0703125
"luquillo",16,18.64453125,63.125,512,4.80934036745776,244.140625
"luquillo",32,26.4296875,126.25,256,5.48678782952963,488.28125
"luquillo",64,36.1640625,252.5,128,5.70781663753458,976.5625
"luquillo",128,46.75,505,64,5.442338432976,1953.125
"luquillo",256,59.09375,1010,32,5.31194257037552,3906.25
"luquillo",512,71.375,2020,16,3.79253653025694,7812.5
"luquillo",1024,85.625,4040,8,3.88908729652601,15625
"luquillo",2048,98.5,8080,4,4.65474668125631,31250
"luquillo",4096,115.5,16160,2,2.12132034355964,62500
"luquillo",8192,124,32320,1,NA,125000
"oosting",1,1.683837890625,2.1708984375,4096,0.203252256993859,16
"oosting",2,2.95654296875,4.341796875,2048,1.4569430699402,32
"oosting",4,4.91796875,8.68359375,1024,1.78050411189447,64
"oosting",8,7.759765625,17.3671875,512,2.10462689047061,128
"oosting",16,11.06640625,34.734375,256,2.25255505797654,256
"oosting",32,15.15625,69.46875,128,2.14232745609392,512
"oosting",64,18.90625,138.9375,64,2.20906322169836,1024
"oosting",128,22.375,277.875,32,2.49838657614689,2048
"oosting",256,25.1875,555.75,16,2.97139136881473,4096
"oosting",512,28.375,1111.5,8,2.0658792662828,8192
"oosting",1024,31.5,2223,4,3.78593889720018,16384
"oosting",2048,34.5,4446,2,4.94974746830583,32768
"oosting",4096,39,8892,1,NA,65536
"rocky",1,0.719970703125,0.825927734375,4096,0.138130929931104,3.515625
"rocky",2,1.34716796875,1.65185546875,2048,1.03909029165205,7.03125
"rocky",4,2.4169921875,3.3037109375,1024,1.29626289524349,14.0625
"rocky",8,4.033203125,6.607421875,512,1.51859675344039,28.125
"rocky",16,6.13671875,13.21484375,256,1.78250192503265,56.25
"rocky",32,8.734375,26.4296875,128,1.99796894902294,112.5
"rocky",64,11.8125,52.859375,64,2.18126947164639,225
"rocky",128,15.1875,105.71875,32,1.89119351289756,450
"rocky",256,19,211.4375,16,2.03306009093025,900
"rocky",512,23.25,422.875,8,2.37546987833084,1800
"rocky",1024,28.25,845.75,4,1.5,3600
"rocky",2048,33.5,1691.5,2,0.707106781186548,7200
"rocky",4096,37,3383,1,NA,14400
"serp",1,7.53125,145.2421875,256,0.46407476637866,0.25
"serp",2,8.75,290.484375,128,3.20432778214606,0.5
"serp",4,10.15625,580.96875,64,3.36753289186279,1
"serp",8,11.71875,1161.9375,32,3.45696468577706,2
"serp",16,13.5625,2323.875,16,3.42478709800575,4
"serp",32,16.375,4647.75,8,2.61520280557469,8
"serp",64,18.5,9295.5,4,1.73205080756888,16
"serp",128,21,18591,2,1.4142135623731,32
"serp",256,24,37182,1,NA,64
"sherman1",1,0.8897705078125,0.915771484375,8192,0.069940666189122,2.44140625
"sherman1",2,1.7373046875,1.83154296875,4096,1.47153204356898,4.8828125
"sherman1",4,3.369140625,3.6630859375,2048,2.11156002261735,9.765625
"sherman1",8,6.3486328125,7.326171875,1024,2.98030978562904,19.53125
"sherman1",16,11.611328125,14.65234375,512,4.2110780879913,39.0625
"sherman1",32,20.0625,29.3046875,256,5.64331984061947,78.125
"sherman1",64,32.5234375,58.609375,128,6.74270074134998,156.25
"sherman1",128,49.1875,117.21875,64,7.43196656236605,312.5
"sherman1",256,68.90625,234.4375,32,8.58114728399865,625
"sherman1",512,90.6875,468.875,16,10.2548768885833,1250
"sherman1",1024,115.875,937.75,8,8.35699023059652,2500
"sherman1",2048,140.75,1875.5,4,8.22090830342568,5000
"sherman1",4096,164.5,3751,2,0.707106781186548,10000
"sherman1",8192,181,7502,1,NA,20000
"sherman2",1,0.9154052734375,0.9451904296875,8192,0.0736149100632917,2.44140625
"sherman2",2,1.782958984375,1.890380859375,4096,1.45103647323868,4.8828125
"sherman2",4,3.4287109375,3.78076171875,2048,2.04033482372483,9.765625
"sherman2",8,6.4013671875,7.5615234375,1024,2.89402899062369,19.53125
"sherman2",16,11.54296875,15.123046875,512,3.93316340107175,39.0625
"sherman2",32,19.671875,30.24609375,256,5.1861192941672,78.125
"sherman2",64,31.46875,60.4921875,128,5.87794154873913,156.25
"sherman2",128,46.578125,120.984375,64,6.62799423201941,312.5
"sherman2",256,64.15625,241.96875,32,6.97973737836659,625
"sherman2",512,84.125,483.9375,16,7.83049594001981,1250
"sherman2",1024,104.875,967.875,8,8.95125689498408,2500
"sherman2",2048,127.5,1935.75,4,9.98331942124796,5000
"sherman2",4096,147.5,3871.5,2,0.707106781186548,10000
"sherman2",8192,168,7743,1,NA,20000
"sherman3",1,1.558837890625,1.6259765625,4096,0.0899714172683865,4.78515625
"sherman3",2,3.01904296875,3.251953125,2048,1.88536353629884,9.5703125
"sherman3",4,5.7158203125,6.50390625,1024,2.6885048574371,19.140625
"sherman3",8,10.4921875,13.0078125,512,3.66128760247314,38.28125
"sherman3",16,18.23046875,26.015625,256,4.95762527898819,76.5625
"sherman3",32,30.078125,52.03125,128,6.09970875127606,153.125
"sherman3",64,46.078125,104.0625,64,6.85751745421917,306.25
"sherman3",128,67.03125,208.125,32,6.1878360123818,612.5
"sherman3",256,90.4375,416.25,16,7.05189099934668,1225
"sherman3",512,113.75,832.5,8,9.66215001214237,2450
"sherman3",1024,137.5,1665,4,12.1792172709634,4900
"sherman3",2048,166.5,3330,2,0.707106781186548,9800
"sherman3",4096,191,6660,1,NA,19600
"woodbridge",1,0.166748046875,0.18505859375,4096,0.093270053396921,1.230712890625
"woodbridge",2,0.32177734375,0.3701171875,2048,0.524415477273023,2.46142578125
"woodbridge",4,0.6142578125,0.740234375,1024,0.688284759389115,4.9228515625
"woodbridge",8,1.125,1.48046875,512,0.886957022236985,9.845703125
"woodbridge",16,1.94140625,2.9609375,256,0.982436135229116,19.69140625
"woodbridge",32,3.09375,5.921875,128,1.09715092739345,39.3828125
"woodbridge",64,4.375,11.84375,64,1.29099444873581,78.765625
"woodbridge",128,6.03125,23.6875,32,1.49157580668794,157.53125
"woodbridge",256,8.125,47.375,16,1.85741756210067,315.0625
"woodbridge",512,10.5,94.75,8,1.51185789203691,630.125
"woodbridge",1024,13.25,189.5,4,0.957427107756338,1260.25
"woodbridge",2048,15.5,379,2,0.707106781186548,2520.5
"woodbridge",4096,19,758,1,NA,5041
